bn:00014445n	[wn:02933112n, wn2020:02964806n]	cabinet	[A piece of furniture resembling a cupboard with doors and shelves and drawers; for storage or display]
bn:00014461n	[wn:02933990n, wn2020:02965702n]	cable_television	[]
bn:00014461n	[wn:02933990n, wn2020:02965702n]	cable_system	[]
bn:00014461n	[wn:02933990n, wn2020:02965702n]	cable_television_service	[A television system that transmits over cables]
bn:00014461n	[wn:02933990n, wn2020:02965702n]	cable	[]
bn:00014468n	[wn2020:03448486n, wn:03412220n]	galley	[]
bn:00014468n	[wn2020:03448486n, wn:03412220n]	ship's_galley	[]
bn:00014468n	[wn2020:03448486n, wn:03412220n]	caboose	[]
bn:00014468n	[wn2020:03448486n, wn:03412220n]	cookhouse	[The area for food preparation on a ship]
bn:00014474n	[wn:02493109n, wn2020:02518553n]	cacajao	[]
bn:00014474n	[wn:02493109n, wn2020:02518553n]	genus_cacajao	[Uakaris]
bn:00014463n	[wn:02934641n, wn2020:02966353n]	funicular_railway	[A railway up the side of a mountain pulled by a moving cable and having counterbalancing ascending and descending cars]
bn:00014463n	[wn:02934641n, wn2020:02966353n]	cable_railway	[]
bn:00014463n	[wn:02934641n, wn2020:02966353n]	funicular	[]
bn:00014482n	[wn:02934888n, wn2020:02966600n]	cache	[A hidden storage space (for money or provisions or weapons)]
bn:00014485n	[wn:06705984n, wn2020:06772722n]	cachet	[]
bn:00014485n	[wn:06705984n, wn2020:06772722n]	seal	[]
bn:00014485n	[wn:06705984n, wn2020:06772722n]	seal_of_approval	[An indication of approved or superior status]
bn:00014483n	[wn2020:13500607n, wn:13366912n]	hoard	[]
bn:00014483n	[wn2020:13500607n, wn:13366912n]	cache	[]
bn:00014483n	[wn2020:13500607n, wn:13366912n]	stash	[A secret store of valuables or money]
bn:00014486n	[wn:06548110n, wn2020:06613035n]	cachet	[]
bn:00014486n	[wn:06548110n, wn2020:06613035n]	lettre_de_cachet	[A warrant formerly issued by a French king who could warrant imprisonment or death in a signed letter under his seal]
bn:00014491n	[wn:07607832n, wn2020:07700670n]	cachou	[A scented lozenge used to sweeten the breath (e.g. to conceal the odor of tobacco)]
bn:00014488n	[wn:14548105n, wn2020:14689040n]	cachexia	[]
bn:00014488n	[wn:14548105n, wn2020:14689040n]	cachexy	[]
bn:00014488n	[wn:14548105n, wn2020:14689040n]	wasting	[Any general reduction in vitality and strength of body and mind resulting from a debilitating chronic disease]
bn:00014477n	[wn2020:12327853n, wn:12201580n]	cacao	[]
bn:00014477n	[wn2020:12327853n, wn:12201580n]	cacao_tree	[]
bn:00014477n	[wn2020:12327853n, wn:12201580n]	chocolate_tree	[]
bn:00014477n	[wn2020:12327853n, wn:12201580n]	theobroma_cacao	[Tropical American tree producing cacao beans]
bn:00014503n	[wn:06404147n, wn2020:06467504n]	scribble	[]
bn:00014503n	[wn:06404147n, wn2020:06467504n]	scratch	[]
bn:00014503n	[wn:06404147n, wn2020:06467504n]	scrawl	[]
bn:00014503n	[wn:06404147n, wn2020:06467504n]	cacography	[Poor handwriting]
bn:00014500n	[wn2020:09292087n, wn:09181557n]	mania	[]
bn:00014500n	[wn2020:09292087n, wn:09181557n]	passion	[]
bn:00014500n	[wn2020:09292087n, wn:09181557n]	cacoethes	[An irrational but irresistible motive for a belief or action]
bn:00014484n	[wn2020:02966729n, wn:02935017n]	cache	[]
bn:00014484n	[wn2020:02966729n, wn:02935017n]	memory_cache	[(computer science) RAM memory that is set aside as a specialized buffer storage that is continually updated; used to optimize data transfers between system elements with different characteristics]
bn:00014505n	[wn:11841529n, wn2020:11965484n]	cactaceae	[]
bn:00014505n	[wn:11841529n, wn2020:11965484n]	family_cactaceae	[]
bn:00014505n	[wn:11841529n, wn2020:11965484n]	cactus_family	[Constituting the order Opuntiales]
bn:00014515n	[wn:09886403n, wn2020:09997543n]	caddie	[]
bn:00014515n	[wn:09886403n, wn2020:09997543n]	golf_caddie	[An attendant who carries the golf clubs for a player]
bn:00014516n	[wn2020:02292232n, wn:02269657n]	caddisworm	[]
bn:00014516n	[wn2020:02292232n, wn:02269657n]	strawworm	[Larva of the caddis fly; constructs a case of silk covered with sand or plant debris]
bn:00014517n	[wn2020:09761410n, wn:09651123n]	caddo	[A group of Plains Indians formerly living in what is now North and South Dakota and Nebraska and Kansas and Arkansas and Louisiana and Oklahoma and Texas]
bn:00014512n	[wn:05218119n, wn2020:05271032n]	cadaver	[]
bn:00014512n	[wn:05218119n, wn2020:05271032n]	corpse	[]
bn:00014512n	[wn:05218119n, wn2020:05271032n]	stiff	[]
bn:00014512n	[wn:05218119n, wn2020:05271032n]	clay	[]
bn:00014512n	[wn:05218119n, wn2020:05271032n]	remains	[The dead body of a human being]
bn:00014514n	[wn2020:02291915n, wn:02269340n]	caddis_fly	[]
bn:00014514n	[wn2020:02291915n, wn:02269340n]	caddis-fly	[]
bn:00014514n	[wn2020:02291915n, wn:02269340n]	caddice_fly	[]
bn:00014514n	[wn2020:02291915n, wn:02269340n]	caddice-fly	[Small moth-like insect having two pairs of hairy membranous wings and aquatic larvae]
bn:00014519n	[wn:02935387n, wn2020:02967099n]	caddy	[Barattolo del tè.]
bn:00014519n	[wn:02935387n, wn2020:02967099n]	tea_caddy	[A can for storing tea]
bn:00014518n	[wn2020:06985581n, wn:06915601n]	caddo	[]
bn:00014518n	[wn2020:06985581n, wn:06915601n]	caddoan	[]
bn:00014518n	[wn2020:06985581n, wn:06915601n]	caddoan_language	[A family of North American Indian languages spoken widely in the Midwest by the Caddo]
bn:00014506n	[wn2020:11966159n, wn:11842204n]	cactus	[Any succulent plant of the family Cactaceae native chiefly to arid regions of the New World and usually having spines]
bn:00014520n	[wn:07045928n, wn2020:07135068n]	cadence	[The close of a musical section]
bn:00014523n	[wn:09886540n, wn2020:09997680n]	cadet	[]
bn:00014523n	[wn:09886540n, wn2020:09997680n]	plebe	[A military trainee (as at a military academy)]
bn:00014537n	[wn:08242100n, wn2020:08339346n]	cadre	[A nucleus of military personnel capable of expansion]
bn:00014545n	[wn2020:12615767n, wn:12488709n]	caesalpinia_coriaria	[Small thornless tree or shrub of tropical America whose seed pods are a source of tannin]
bn:00014545n	[wn2020:12615767n, wn:12488709n]	divi-divi	[]
bn:00014548n	[wn:12487394n, wn2020:12614452n]	family_caesalpiniaceae	[Spiny trees, shrubs, or perennial herbs, including the genera Caesalpinia, Cassia, Ceratonia, Bauhinia; commonly included in the family Leguminosae]
bn:00014548n	[wn:12487394n, wn2020:12614452n]	caesalpiniaceae	[]
bn:00014594n	[wn2020:02116667n, wn:02096177n]	cairn_terrier	[Small rough-haired breed of terrier from Scotland]
bn:00014594n	[wn2020:02116667n, wn:02096177n]	cairn	[]
bn:00014598n	[wn2020:02969048n, wn:02937336n]	caisson	[A two-wheeled military vehicle carrying artillery ammunition]
bn:00014593n	[wn:07273802n, wn2020:07364986n]	cairn	[A mound of stones piled up as a memorial or to mark a boundary or path]
bn:00014597n	[wn2020:03097136n, wn:03064443n]	caisson	[]
bn:00014597n	[wn2020:03097136n, wn:03064443n]	lacuna	[An ornamental sunken panel in a ceiling or dome]
bn:00014597n	[wn2020:03097136n, wn:03064443n]	coffer	[]
bn:00014603n	[wn2020:07819691n, wn:07726230n]	pigeon_pea	[]
